title,author,format,year,price,publisher,length,city/country,categories,description,ISBN
The Daily Stoic Journal,Ryan Holiday,Hardback,2020,1635.94,Profile Books Ltd,336 pages,"London, United Kingdom","['Diaries, Letters & Journals', 'Management: Leadership & Motivation', 'Advice On Careers & Achieving Success', 'Assertiveness, Motivation & Self-esteem']","Ryan Holiday has led the popular revival of stoicism since 2014, with his acclaimed bestsellers The Obstacle is the Way, Ego is the Enemy, and - in partnership with Stephen Hanselman - The Daily Stoic. This latter offered powerful quotations, fresh anecdotes, and insightful commentary on the wisdom of Epictetus, Seneca, and Marcus Aurelius.Now Holiday and Hanselman are back with The Daily Stoic Journal, an interactive guide to integrating this ancient philosophy into our 21st century lives. Readers will find weekly explanations and quotations to inspire deeper reflection on Stoic practices, as well as daily prompts and a helpful introduction explaining the various Stoic tools of self-management. The beautifully designed hardback features space for morning and evening notes, along with advice to encourage ongoing writing and insights, day by day through the year.As a companion volume for those who already love The Daily Stoic, or as a stylish stand-alone journal, this is perfect for anyone seeking inner peace and clarity in our volatile world.show more",978-2521195198
Sweet Bean Paste,Durian Sukegawa,Paperback,2017,1090.06,Oneworld Publications,224 pages,"London, United Kingdom","['Contemporary Fiction', 'Historical Fiction', 'Fiction In Translation', 'Cakes, Baking, Icing & Sugarcraft']","I'm in story heaven with this book.' Cecelia Ahern, author of P.S. I Love YouA charming tale of friendship, love and loneliness in contemporary JapanSentaro has failed. He has a criminal record, drinks too much, and his dream of becoming a writer is just a distant memory. With only the blossoming of the cherry trees to mark the passing of time, he spends his days in a tiny confectionery shop selling dorayaki, a type of pancake filled with sweet bean paste.But everything is about to change.Into his life comes Tokue, an elderly woman with disfigured hands and a troubled past. Tokue makes the best sweet bean paste Sentaro has ever tasted. She begins to teach him her craft, but as their friendship flourishes, social pressures become impossible to escape and Tokue's dark secret is revealed,with devastating consequences.Sweet Bean Paste is a moving novel about the burden of the past and the redemptive power of friendship. Translated into English for the first time, Durian Sukegawa's beautiful prose is capturing hearts all over the world.show more",978-8339525344
Neymar (Ultimate Football Heroes - the No. 1 football series),Matt & Tom Oldfield,Paperback,2018,823.95,John Blake Publishing Ltd,176 pages,"London, United Kingdom","[""Children's Sports Books"", ""Football / Soccer (Children's/YA)""]","The No.1 football series - over 1 million copies sold!'As Neymar Jr made the long walk to the penalty spot, he knew this was his chance, the one that he had dreamed of since the age of three. If he scored, Brazil would be Olympic Champions for the first time ever.'Neymar da Silva Santos Junior is the boy who carries the hopes of Brazil on his shoulders. Although he now faces a new challenge at Paris Saint-Germain, it was his years playing for Barcelona, in a fearsome attacking trident alongside Messi and Suarez, that made him a legend across the world. This is the heart-warming true story of Neymar's road to glory.Ultimate Football Heroes is a series of biographies telling the life-stories of the biggest and best footballers in the world and their incredible journeys from childhood fan to super-star professional player. Written in fast-paced, action-packed style these books are perfect for all the family to collect and share.show more",978-9885430101
Love,Donna Ashworth,Hardback,2022,1061.62,Bonnier Books Ltd,160 pages,United Kingdom,"['Poetry Books', 'Poetry By Individual Poets', 'Family & Relationships', 'Dating, Relationships, Living Together & Marriage', 'Personal Development', 'Popular Psychology']","FROM THE SUNDAY TIMES BESTSELLING AUTHOR OF I WISH I KNEWA book for the passionate and warm-hearted among us, Love explores every type of affection and helps us to nurture our most precious connections.This collection invites us to keep space open for the love in our lives and to remember that it can be found in the most unexpected places.From familial ties to friendship and romantic love, these poems show tenderness as a powerful force - even towards yourself.Real readers are falling for Love- ""A poignant, beautiful, and soothing collection of poems"" ***** NetGalley- ""I didn't realise how much I needed the words that was on the pages!"" ***** NetGalley- ""Fabulous author whose poems come from her heart and whose words seem to speak the emotions in a way many of us can't."" *****Amazon- ""She is a truly talented writer who is capable of writing words that really speak to the soul."" *****Amazonshow more",978-6230850367
The Mini ADHD Coach,Alice Gendron,Hardback,2023,1676.88,Ebury Publishing,208 pages,"London, United Kingdom","['Abnormal Psychology', 'Teaching Of Specific Groups & Persons With Special Educational Needs', 'Teaching Of Specific Groups & Persons With Special Educational Needs', 'Popular Medicine & Health', ""Women's Health"", 'Coping With Illness', 'Personal Development', 'Advice On Careers & Achieving Success', 'Popular Psychology']","The first truly accessible self-help book for ADHD readers.What is it really like to live with ADHD?When Alice Gendron was diagnosed with ADHD aged 29, she knew she didn't fit the usual ADHD stereotypes. And she knew that she wasn't alone in this. Yet with up to 10 percent of the population worldwide with ADHD, it is still highly misunderstood.Can you have ADHD and still be able to focus? Is being hyperactive a requirement to be diagnosed? The Mini ADHD Coach will set the record straight and show you what it's actually like to have ADHD. Through Alice's much-loved, funny and relatable illustrations, you'll learn-- How ADHD can impact your daily life, from getting dressed and commuting to dating and making dinner- How to deal with strong emotions after your ADHD diagnosis- What ADHD expressions, such as analysis paralysis, hyperfocus and time blindness, really mean- And how to finally understand yourselfFull of insider tips and hacks, this book will, most importantly, show you that you are not alone and that by with working with your brain, not against it, it is possible to thrive with ADHD.show more",978-7669768984
The Body Code,Dr Bradley Nelson,Paperback,2023,2601.77,Ebury Publishing,400 pages,"London, United Kingdom","['Complementary Medicine', 'Popular Medicine & Health', 'Personal Development', 'Popular Psychology', 'Self-sufficiency', 'Complementary Therapies, Healing & Health', 'Reiki', 'Chakras, Auras & Spiritual Energy']","Heal yourself in body and mindThe Body Code is a truly revolutionary method of holistic healing. Dr. Bradley Nelson, a globally renowned expert in bioenergetic medicine, has spent decades teaching his powerful self-healing method and training practitioners around the globe, but this is the first time his system of healing will be available to the general public in the form of The Body Code.The Body Code is based on the simple premise that the body is self-healing and knows what it needs in order to thrive and flourish. The Body Code method allows readers to tap into this inner knowing, and find imbalances in 6 key areas - Energies, Circuits and Systems, Toxicity, Nutrition and Lifestyle, Misalignments, and Pathogens - that are the root causes of our physical, mental and emotional issues. By identifying and releasing these imbalances, readers become empowered to activate their body's innate healing power.Filled with powerful first-hand accounts of healing, hundreds of colour illustrations, and concrete, actionable steps, The Body Code is a road map to healing based in deep study of the human body, time-proven ancient practices, and the unlimited power of the subconscious mind.show more",978-8133535856
The Magic of Thinking Big,David J Schwartz,Paperback,2016,1486.93,Ebury Publishing,384 pages,"London, United Kingdom","['Psychology', 'Assertiveness, Motivation & Self-esteem']","More than 6 million readers around the world have improved their lives by reading The Magic of Thinking Big.First published in 1959, David J Schwartz's classic teachings are as powerful today as they were then. Practical, empowering and hugely engaging, this book will not only inspire you, it will give you the tools to change your life for the better - starting from now. His step-by-step approach will show you how to:- Defeat disbelief and the negative power it creates- Make your mind produce positive thoughts- Plan a concrete success-building programme- Do more and do it better by turning on your creative power- Capitalise on the power of NOWUpdated for the 21st century, this is your go-to guide to a better life, starting with the way you think.show more",978-9547188530
Flavour Kiss,Belinda Macdonald,Paperback,2023,2438.5,Penguin Group (NZ),288 pages,"Auckland, New Zealand",['Health & Wholefood Cookery'],"More easy keto-centric recipes that are packed with flavour from Bel MacDonald, the creator of popular website and best-selling book Flavourbomb.More than 150 simple keto-centric recipes full of goodness to make you smile. There's something for everyone, from easy mid-week meals to snack-alicious tapas for entertaining, an abundant veggie section and the sassiest of sweets packed with lusciousness. The dishes range from Spicy Peanut Butter Kimchi Noodles to Chilli Caramel Pork Belly, Greek Lamb Skewers and a summer strawberry tart to a truly fabulous keto Christmas cake.Take your wholefood and keto cooking to another level with Bel's help!show more",978-8189560791
The Deal,Elle Kennedy,Paperback,2015,1558.7,Elle Kennedy,400 pages,"Naperville, Canada","['Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","New York Times bestseller Elle Kennedy brings you a sexy new Off-Campus novel that can be read as a standalone...She's about to make a deal with the college bad boy...Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, she'll have to step out of her comfort zone and make him take notice...even if it means tutoring the annoying, childish, cocky captain of the hockey team in exchange for a pretend date....and it's going to be oh so goodAll Garrett Graham has ever wanted is to play professional hockey after graduation, but his plummeting GPA is threatening everything he's worked so hard for. If helping a sarcastic brunette make another guy jealous will help him secure his position on the team, he's all for it. But when one unexpected kiss leads to the wildest sex of both their lives, it doesn't take long for Garrett to realize that pretend isn't going to cut it. Now he just has to convince Hannah that the man she wants looks a lot like him.show more",978-9743993282
Queer Chameleon and Friends,Amee Wilson,Hardback,2023,2902.46,Random House Australia,136 pages,"Ferntree Gully, VIC, Australia",['Picture Books'],"A vibrant and uplifting collection of comic illustrations about LGBTQ+ life, for the community and beyond, from the creator of the online sensation @queeeerchameleon that's loved by millions.Queer Chameleon and Friends reminds us that all experiences are valid, empowers us to accept and express our identities and those of others, and reassures us that even in challenging moments along the way, there’s light and humour to be found.In this colourful, insightful and funny book, writer and illustrator Amee Wilson explores aspects of existing in a world not always designed for you – from silly questions and awkward-but-sometimes-accurate clichés, to the trials and tribulations of coming out (or choosing not to).A collection of beautifully illustrated conversations between the beloved character Queer Chameleon and their friends from across the community, it’s a joyous celebration of life outside the boxes modern society has created.show more",978-7488255217
Life: What Nat To Do,Nat's What I Reckon,Hardback,2022,2782.04,Penguin Random House Australia,216 pages,Australia,['Funny Books & Stories'],"Free yourself from crappy cliches telling you how to live your life.Forget what you should do.This is what NAT to do.Some advice suits certain people more than others.Some advice is . . . redundant waffle.And Nat's What I Reckon refuses to let it slide! Ya see, Nat's got a loud mouth and a taste for taking the piss out of stuff - it's how he lives, laughs and loves.Now, his target's the tired old life advice he's had enough of-Man up. Good vibes only. No pain no gain. Carpe diem.What a punish!Nat has zero qualifications as a philosopher or life coach, and he doesn't feel like becoming either one anytime soon. But as someone who has struggled to find the ray of positivity in most days of his life, he knows what it's like to feel the relief from a moment of joy.So buckle up for Nat's unrequested take on pushing back against expectations and rolling through life with some laughs and kindness like a real, righteous ratbag!show more",978-0845780433
Hooked,Emily Mcintire,Paperback,2022,1302.4,"Sourcebooks, Inc",416 pages,"London, United States","['Crime', 'Crime Fiction', 'Myth & Legend Told As Fiction', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","From BookTok sensation Emily McIntire comes a dark and delicious fractured fairy tale reimagining of Peter Pan.He wants revenge, but he wants her more...James has always had one agenda: destroy his enemy, Peter Michaels. When Peter's twenty-year-old daughter Wendy shows up in James's bar, he sees his way in. Seduce the girl and use her for his revenge. It's the perfect plan, until things in James's organization begin to crumble. Suddenly, he has to find the traitor in his midst, and his plan for revenge gets murkier as James starts to see Wendy as more than just a pawn in his game.Wendy has been cloistered away most of her life by her wealthy cold father, but a spontaneous night out with friends turns into an intense and addictive love affair with the dark and brooding James. As much as she knows James is dangerous, Wendy can't seem to shake her desire for him. But as their relationship grows more heated and she learns more about the world he moves in, she finds herself unsure if she's falling for the man known as James or the monster known as Hook.show more",978-6262368347
Teenage Mutant Ninja Turtles: The Last Ronin,Kevin Eastman,Hardback,2022,2965.94,Idea & Design Works,224 pages,United States,"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga']","A New York Times Bestseller! Who is the Last Ronin? In a future, battle-ravaged New York City, a lone surviving Turtle embarks on a seemingly hopeless mission seeking justice for the family he lost. From legendary TMNT co-creators Kevin Eastman and Peter Laird, get ready for the final story of the Teenage Mutant Ninja Turtles three decades in the making!What terrible events destroyed his family and left New York a crumbling, post-apocalyptic nightmare? All will be revealed in this climactic Turtle tale that sees longtime friends becoming enemies and new allies emerging in the most unexpected places. Can the surviving Turtle triumph?Eastman and Laird are joined by writer Tom Waltz, who penned the first 100 issues of IDW's ongoing TMNT series, and artists Esau & Isaac Escorza (Heavy Metal) and Ben Bishop (The Far Side of the Moon) with an Introduction by filmmaker Robert Rodriguez!Collects the complete five-issue miniseries in a new graphic novel, an adventure as fulfilling for longtime Turtles fans as it is accessible for readers just discovering the heroes in a half shell.show more",978-7938068751
Big Panda and Tiny Dragon,James Norbury,Hardback,2021,2532.81,Mandala Publishing,160 pages,,"['Ethics & Moral Philosophy', 'Buddhist Books', 'Personal Development', 'Assertiveness, Motivation & Self-esteem', 'Mind, Body, Spirit: Thought & Practice']","""Food for the soul.""--CBS MorningsA thought-provoking journey of companionship, courage, tenderness, and tea.Big Panda and Tiny Dragon embark on a journey through the seasons of the year together. They get lost, as many of us do. But while lost, they discover many beautiful sights they'd never have found had they gone the right way. Told through a series of beautiful drawings and quiet, sometimes silly, conversations, the panda and the dragon explore the thoughts and emotions, hardships and happiness that connect us all. In nature, they learn how to live in the moment, how to be at peace with uncertainty, and how to find the strength to overcome life's obstacles together.Inspired by Buddhist philosophy and spirituality, British author and artist James Norbury created the adventures of Big Panda and Tiny Dragon to share ideas that have helped him through difficult times. The book's series of vignettes can be read cover to cover or dipped into whenever inspiration is needed. James hopes the book's words and images will inspire others to pause, enjoy the stillness, and look at life in a positive new way.WORDS OF WISDOM: The seemingly simple, and often silly, conversations between Big Panda and Tiny Dragon reveal meaningful insights on friendship, inner wisdom, and self-acceptance.INSPIRING IMAGES: Depicted in bold brush strokes reminiscent of calligraphy, big, fluffy Panda and tiny, wiry Dragon journey through rolling hills, wooded forests, and blooming meadows in more than 120 elegant black-and-white and full-color scenes.FOR READERS OF ALL AGES: From youngsters at story time to new graduates with the world ahead of them to adults in moments of challenge or transition, Big Panda and Tiny Dragon offer comfort, inspiration, and a wry smile for every reader.WORK OF ART: Featuring a beautiful cover and a collection of stunning illustrations, each one more beautiful than the next, every page in this book is worthy of framing.HEARTFELT GIFT: Full of wisdom and touching humor, Big Panda and Tiny Dragon makes a thoughtful gift to be treasured.show more",978-3274753364
Grand Blue Dreaming 18,Kimitake Yoshioka,Paperback,2023,1172.04,"Kodansha America, Inc",208 pages,"New York, United States","['Romance', 'Romance Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga']","The hit comedy manga comes to print by popular demand! Swimsuits! Ramen! Dumb jokes! Beer! Uncomfortable nudity!A SISTER'S WRATHNanaka is left fuming after she learns that Chisa lied to her about traveling to Okinawa. Suspecting Iori of seducing her sister during the trip, the frighteningly overprotective Nanaka plots how to make Iori come clean. Meanwhile, Iori finds his resolve floundering in the face of Sakurako's relentless love attack. Will he make it out of this in one piece?show more",978-0136580842
Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 3,Rifujin Na Magonote,Paperback,2019,1660.21,"Seven Seas Entertainment, LLC",320 pages,"West Hollywood, United States","['Graphic Novels: Manga', 'Graphic Novels: Manga', ""Children's Fiction"", ""Children's General Story Books"", 'Fantasy Books for Kids', 'Graphic Novels']","An unemployed otaku has just reached the lowest point in his life. He wants nothing more than the ability to start over, but just as he thinks it may be possible... he gets hit by a truck and dies! Shockingly, he finds himself reborn into an infant's body in a strange new world of swords and magic.His identity now is Rudeus Greyrat, yet he still retains the memories of his previous life. Reborn into a new family, Rudeus makes use of his past experiences to forge ahead in this fantasy world as a true prodigy - gifted with maturity beyond his years and a natural born talent for magic. With swords instead of chopsticks, and spell books instead of the internet, can Rudeus redeem himself in this wondrous yet dangerous land?show more",978-4789008798
Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 2,Rifujin Na Magonote,Paperback,2019,1601.1,"Seven Seas Entertainment, LLC",320 pages,"West Hollywood, United States","['Fantasy', 'Fantasy Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga', ""Children's Fiction"", 'Fantasy Books for Kids']","An unemployed otaku has just reached the lowest point in his life. He wants nothing more than the ability to start over, but just as he thinks it may be possible... he gets hit by a truck and dies! Shockingly, he finds himself reborn into an infant's body in a strange new world of swords and magic.His identity now is Rudeus Greyrat, yet he still retains the memories of his previous life. Reborn into a new family, Rudeus makes use of his past experiences to forge ahead in this fantasy world as a true prodigy - gifted with maturity beyond his years and a natural born talent for magic. With swords instead of chopsticks, and spell books instead of the internet, can Rudeus redeem himself in this wondrous yet dangerous land?show more",978-2566177589
Our Dreams at Dusk: Shimanami Tasogare Vol. 4,Yuhki Kamatani,Paperback,2019,1267.11,"Seven Seas Entertainment, LLC",180 pages,"West Hollywood, United States","['Graphic Novel & Manga Artwork', 'Graphic Novels: Manga', 'Graphic Novels: Manga']","Not only is high schooler Tasuku Kaname the new kid in town, he's also terrified that he's been outed as gay. Just as he's contemplating doing the unthinkable, Tasuku meets a mysterious woman who leads him to a group of people dealing with problems not so different from his own. In this realistic, heartfelt depiction of LGBT  characters from different backgrounds finding their place in the world, a search for inner peace proves to be the most universal experience of all.show more",978-8566024643
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs (Light Novel) Vol. 8,Yomu Mishima,Paperback,2023,1542.88,"Seven Seas Entertainment, LLC",428 pages,"West Hollywood, United States","['Science Fiction', 'Science Fiction', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', ""Children's Fiction""]","Office worker Leon is reincarnated into a dating sim video game, where women reign supreme and only beautiful men have a seat at the table. But Leon has a secret weapon: he remembers everything from his past life, which includes a complete playthrough of the very game in which he is now trapped. Can Leon spark a revolution to change this new world order?show more",978-4977208158
Tokyo Revengers (Omnibus) Vol. 5-6,Ken Wakui,Paperback,2022,2029.27,"Seven Seas Entertainment, LLC",392 pages,"West Hollywood, United States","['Graphic Novel & Manga Artwork', 'Science Fiction', 'Science Fiction', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga']","Watching the news, Hanagaki Takemichi learns his junior-high girlfriend Tachibana Hinata has died. A sudden shove sends him 12 years into the past to face the Tokyo Manji Gang that once made his life hell, which is also responsible for Hinata's death in the present. To save Hinata and change the future, Takemichi must rise to the top of Kanto's most sinister delinquent gang! But things aren't so simple when he befriends the gang's leader, Mikey. What turned Mikey from a petulant child to the leader of the most infamous gang in Tokyo?show more",978-7701025422
House of Earth and Blood ( Crescent City ),Sarah Maas,Paperback,2021,2263.79,Bloomsbury Publishing PLC,816 pages,"New York, United States","['Adventure Books', 'Horror', 'Horror', 'Science Fiction', 'Science Fiction', 'Fantasy', 'Fantasy Books', 'Romance', 'Romance Books']","A #1 New York Times bestseller!Sarah J. Maas's bestselling Crescent City series begins with House of Earth and Blood, which follows the story of half-Fae and half-human Bryce Quinlan as she seeks revenge in a contemporary fantasy world of magic, danger, and searing romance.Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths.Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it.With unforgettable characters, sizzling romance, and page-turning suspense, this richly inventive new fantasy series by #1 New York Times bestselling author Sarah J. Maas delves into the heartache of loss, the price of freedom-and the power of love.show more",978-9913427593
Accessing the Healing Power of the Vagus Nerve,Stanley Rosenbery,Paperback,2018,2909.74,"North Atlantic Books,U.S.",296 pages,"Berkeley, CA, United States","['Physiological & Neuro-psychology, Biopsychology', 'Complementary Medicine', 'Popular Medicine & Health', 'Coping With Illness', 'Complementary Therapies, Healing & Health']","The best-selling book on the topic--now in 15 languages.This practical guide to understanding the cranial nerves as the key to our psychological and physical well-being builds on Stephen Porges's Polyvagal Theory--one of the most important recent developments in human neurobiology. Drawing on more than thirty years of experience as a craniosacral therapist and Rolfer, Stanley Rosenberg explores the crucial role that the vagus nerve plays in determining our psychological and emotional states and explains that a myriad of common psychological and physical symptoms--from anxiety and depression to migraines and back pain--indicates a lack of proper functioning in the vagus nerve.Through a series of easy self-help exercises, the book illustrates the simple ways we can regulate the vagus nerve in order to initiate deep relaxation, improve sleep, and recover from injury and trauma. Additionally, by exploring the link between a well-regulated vagus nerve and social functioning, Rosenberg's findings and methods offer new hope that by improving social behavior it is possible to alleviate some of the symptoms at the core of many cases of autism spectrum disorders. Useful for psychotherapists, doctors, bodyworkers, and caregivers, as well as anyone who experiences the symptoms of chronic stress and depression, this book shows how we can optimize autonomic functioning in ourselves and others, and bring the body into the state of safety that activates its innate capacity to heal.show more",978-3367661239
Vinland Saga 2,Makoto Yukimura,Hardback,2014,2366.02,"Kodansha America, Inc",442 pages,"New York, United States","['Graphic Novels: Manga', 'Graphic Novels: Manga']","At the turn of the 11th century, the North Sea is in the grip of the Viking terror. The clever Askeladd leads his small band of mercenaries into London, with the aid of the ruthless young Thorfinn, son of a warrior in the dreaded Jomsvikings. But this is an alliance of convenience: Thorfinn has sworn to kill Askeladd one day to avenge his father's death. When a race begins to capture the prince and secure the rights to the throne, personal grudges will clash with the fate of a kingdom, and blood will be spilled!show more",978-6908425162
Thinking in Systems,Donella Meadows,Paperback,2008,1711.93,Chelsea Green Publishing Co,240 pages,"White River Junction, United States","['Cybernetics & Systems Theory', 'Development Economics', 'Development Economics', 'Science: General Issues', 'Sustainability']","In the years following her role as the lead author of the international bestseller, Limits to Growth--the first book to show the consequences of unchecked growth on a finite planet-- Donella Meadows remained a pioneer of environmental and social analysis until her untimely death in 2001. Meadows' newly released manuscript, Thinking in Systems, is a concise and crucial book offering insight for problem solving on scales ranging from the personal to the global. Edited by the Sustainability Institute's Diana Wright, this essential primer brings systems thinking out of the realm of computers and equations and into the tangible world, showing readers how to develop the systems-thinking skills that thought leaders across the globe consider critical for 21st-century life. Some of the biggest problems facing the world--war, hunger, poverty, and environmental degradation--are essentially system failures. They cannot be solved by fixing one piece in isolation from the others, because even seemingly minor details have enormous power to undermine the best efforts of too-narrow thinking. While readers will learn the conceptual tools and methods of systems thinking, the heart of the book is grander than methodology. Donella Meadows was known as much for nurturing positive outcomes as she was for delving into the science behind global dilemmas. She reminds readers to pay attention to what is important, not just what is quantifiable, to stay humble, and to stay a learner. In a world growing ever more complicated, crowded, and interdependent, Thinking in Systems helps readers avoid confusion and helplessness, the first step toward finding proactive and effective solutions.show more",978-2069262961
Journey of Souls,Michael Newton,Paperback,2002,1754.58,"Llewellyn Publications,U.S.",288 pages,"Minnesota, United States","['Spiritualism', 'Psychic Powers & Psychic Phenomena', 'Astral Projection & Out-of-body Experiences', 'Reincarnation & Past Lives', 'Spirit Guides, Angels & Channelling', 'Unexplained Phenomena / The Paranormal']","Learn the latest details and most recent groundbreaking discoveries that reveal, for the first time, the mystery of life in the spirit world after death on Earth--proof that our consciousness survives--in Journey of Souls by Michael Newton, PhD.Using a special hypnosis technique to reach the hidden memories of subjects, Dr. Newton discovered some amazing insights into what happens to us between lives. Journey of Soulsis the record of 29 people who recalled their experiences between physical deaths. Through their extraordinary stories, you will learn specifics about:   How it feels to die What you see and feel right after death The truth about ""spiritual guides"" What happens to ""disturbed"" souls Why you are assigned to certain soul groups in the spirit world and what you do there How you choose another body to return to Earth The different levels of souls: beginning, intermediate, and advanced When and where you first learn to recognize soulmates on Earth The purpose of lifeJourney of Souls is a graphic record or ""travel log"" by these people of what happens between lives on Earth. They give specific details as they movingly describe their astounding experiences.After reading Journey of Souls,  you will gain a better understanding of the immortality of the human soul. You will meet day-to-day challenges with a greater sense of purpose. You will begin to understand the reasons behind events in your own life.Journey of Souls is a life-changing book. Already, over 600,000 people have taken Journey of Souls to heart, giving them hope in trying times.show more",978-2383425356
Layla,Colleen Hoover,Paperback,2021,1346.62,Amazon Publishing,304 pages,"Seattle, United States","['Contemporary Fiction', 'Thriller Books', 'Thrillers', 'Horror', 'Horror', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","A Wall Street Journal and USA Today bestseller.From #1 New York Times bestselling author Colleen Hoover comes a novel that explores life after tragedy and the enduring spirit of love.When Leeds meets Layla, he's convinced he'll spend the rest of his life with her-until an unexpected attack leaves Layla fighting for her life. After weeks in the hospital, Layla recovers physically, but the emotional and mental scarring has altered the woman Leeds fell in love with. In order to put their relationship back on track, Leeds whisks Layla away to the bed-and-breakfast where they first met. Once they arrive, Layla's behavior takes a bizarre turn. And that's just one of many inexplicable occurrences.Feeling distant from Layla, Leeds soon finds solace in Willow-another guest of the B&B with whom he forms a connection through their shared concerns. As his curiosity for Willow grows, his decision to help her find answers puts him in direct conflict with Layla's well-being. Leeds soon realizes he has to make a choice because he can't help both of them. But if he makes the wrong choice, it could be detrimental for all of them.show more",978-3829545272
Trauma and Recovery,Judith Herman,Paperback,2022,1909.97,Basic Books,480 pages,"London, United States","['Domestic Violence', 'Psychology', 'Abnormal Psychology', 'Psychiatry', 'Trauma & Shock', 'Coping With Personal Problems', 'Family & Relationships', 'Personal Development']","Trauma and Recovery is the foundational text on understanding trauma survivors. By placing individual experience in a political frame, psychiatrist Judith L. Herman argues that psychological trauma is inseparable from its social and political context. Drawing on her own research on incest, as well as a vast literature on combat veterans and victims of political terror, she shows surprising parallels between private horrors like child abuse and public horrors like war.This edition includes a new epilogue by the author assessing what has-and hasn't-changed in understanding and treating trauma over the last three decades.Hailed by the New York Times as ""one of the most important psychiatry works to be published since Freud,"" Trauma and Recovery is essential reading for anyone seeking to understand how we heal.show more",978-8683704033
The Female Factor,Dr Hazel Wallace,Hardback,2023,2823.15,Hodder & Stoughton,288 pages,"London, United Kingdom","['Health Books', ""Women's Health"", 'Diets & Dieting', 'Health & Wholefood Cookery']","The Number One BestsellerA DEEP DIVE INTO WOMEN'S HEALTH** Is heart disease a 'male' disease?** Are certain vitamin and mineral requirements particularly important at certain points of women's lives?** Can I stay active during pregnancy?** Why are women more likely to experience stress-related conditions?** How does sleep affect my overall health?** What can I eat to ease my menopausal transition?The male body has always been the default body in clinical medicine, making the assumption that women are just smaller versions of men. This could not be more wrong.This bold, comprehensive guide to understanding women's health shakes up the narrative for women of all ages. The Female Factor provides methods to protect and maximise your health in positive, affirming steps.Spanning nutrition, movement, mood, sleep and 50 balanced and delicious recipes, this is a blueprint to understanding and aligning your wellbeing, your hormones and your body, both in the short-term and long-term, filled with practical and insightful information to harness throughout the course of your life.show more",978-2793871799
Memphis,Tara M Stringfellow,Hardback,2022,1771.03,John Murray Press,272 pages,"London, United Kingdom","['Contemporary Fiction', 'Historical Fiction']","LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTIONSHORTLISTED FOR THE WATERSTONES DEBUT FICTION PRIZE'I LOVED THIS BOOK' ROXANE GAY'AN AMERICAN EPIC' CHLOE BENJAMIN'BEAUTIFULLY WRITTEN, INSPIRING' WOMAN AND HOME, BOOKS OF THE YEARFleeing her husband's explosive temper, Miriam has brought her two daughters, Joan and Mya, back to Memphis, to the home her father built in the 40s.Joan was only a child the last time she visited Memphis. She doesn't remember the bustle of Beale Street on a summer's night or the smell of honeysuckle as she climbs the porch steps to her aunt's house. But when the front door opens, she does remember her cousin Derek.As Joan learns more about her family's past she discovers she's not the only North woman to have experienced great hurt. But she also sees their resilience and courage, how these extraordinary women fry green tomatoes and braid hair and sing all the while.Memphis has changed since Joan's grandparents lived there. Streets once filled with the beat of protest and blues, now echo with gunfire. But Joan still looks for the beauty in this city, in its people - and she realizes that to make a future for herself, she must find her own song to sing.show more",978-2659812634
